小韻,字,漢音
1,東,トウ
2,同,トウ
3,中,チウ
4,蟲,チウ
5,終,シウ
6,忡,チウ
7,崇,スウ
8,嵩,シウ
9,戎,ジウ
10,弓,キウ
11,融,イウ
12,雄,イウ
13,瞢,ボウ
14,穹,キウ
15,窮,キウ
16,馮,フウ
17,風,フウ
18,豐,ホウ
19,充,シウ
20,隆,シウ
21,空,コウ
22,公,コウ
23,蒙,モウ
24,籠,ロウ
25,洪,コウ
26,叢,ソウ
27,翁,ヲウ
28,怱,ソウ
29,通,トウ
30,葼,ソウ
31,蓬,ホウ
32,烘,コウ
33,㟅,
34,檧,ソウ
35,冬,トウ
36,彤,トウ
37,賨,
38,農,ノウ
39,攻,コウ
40,䃔,
41,䃧,
42,宗,ソウ
43,鬆,ソウ
44,炵,トウ
45,鍾,ショウ
46,龍,リョウ
47,舂,ショウ
48,松,ショウ
49,𧘂,
50,容,ヨウ
51,封,ホウ
52,胷,キョウ
53,顒,ギョウ
54,邕,ヨウ
55,醲,ヂョウ
56,重,チョウ
57,從,ショウ
58,蹱,チョウ
59,逢,ホウ
60,峯,ホウ
61,縱,ショウ
62,茸,ジョウ
63,蛩,キョウ
64,鱅,ヨウ
65,恭,キョウ
66,蜙,ショウ
67,樅,ショウ
68,銎,キョウ
69,江,カウ
70,厖,バウ
71,𦗳,ナウ
72,囪,ソウ
73,邦,ハウ
74,栙,カウ
75,胮,ハウ
76,瀧,ラウ
77,雙,サウ
78,龐,ハウ
79,肛,カウ
80,胦,アウ
81,腔,カウ
82,幢,タウ
83,憃,タウ
84,樁,タウ
85,㟅,
86,淙,サウ
87,支,シ
88,移,イ
89,爲,ヰ
90,嬀,クヰ
91,𪎮,クヰ
92,逶,ヰ
93,糜,ビ
94,隓,キ
95,鬌,ツイ
96,𡍮,スイ
97,羸,ルイ
98,吹,スイ
99,鈹,ヒ
100,陂,ヒ
101,隨,ズイ
102,虧,クヰ
103,闚,クヰ
104,竒,キ
105,祇,キ
106,犧,キ
107,㩻,キ
108,宜,ギ
109,皮,ヒ
110,提,シ
111,兒,ジ
112,離,リ
113,疵,シ
114,貲,シ
115,羈,キ
116,卑,ヒ
117,陴,ヒ
118,䌳,シ
119,斯,シ
120,差,シ
121,摛,チ
122,彌,ビ
123,雌,シ
124,知,チ
125,漪,イ
126,馳,チ
127,眭,スイ
128,危,グヰ
129,詑,イ
130,釃,シ
131,䪎,
132,痿,ヰ
133,厜,シ
134,𩓸,
135,劑,セイ
136,衰,スイ
137,腄,
138,䮔,セイ
139,眵,シ
140,齜,
141,𤿎,ヒ
142,䔺,
143,齹,
144,脂,シ
145,姨,イ
146,師,シ
147,𣬈,ヒ
148,咨,シ
149,飢,キ
150,鴟,シ
151,絺,チ
152,郪,シ
153,茨,シ
154,尼,ヂ
155,墀,チ
156,私,シ
157,尸,シ
158,鬐,キ
159,伊,イ
160,棃,リ
161,葵,クヰ
162,追,ツイ
163,龜,クヰ
164,蕤,ズイ
165,衰,スイ
166,惟,ヰ
167,㶟,ルイ
168,綏,スイ
169,逵,クヰ
170,眉,ビ
171,悲,ヒ
172,錐,スイ
173,誰,スイ
174,帷,ヰ
175,邳,ヒ
176,丕,ヒ
177,倠,
178,鎚,ツイ
179,推,スイ
180,胝,チ
181,紕,ヒ
182,嶉,スイ
183,巋,クヰ
184,狋,ギ
185,咦,イ
186,之,シ
187,飴,イ
188,時,シ
189,疑,ギ
190,思,シ
191,輜,シ
192,其,キ
193,詩,シ
194,而,ジ
195,欺,キ
196,姬,キ
197,詞,シ
198,釐,リ
199,葘,シ
200,僖,キ
201,醫,イ
202,癡,チ
203,治,チ
204,蚩,シ
205,慈,シ
206,兹,シ
207,茬,シ
208,漦,シ
209,抾,キ
210,䀵,シ
211,微,ビ
212,揮,クヰ
213,幃,ヰ
214,霏,ヒ
215,猆,ヒ
216,肥,ヒ
217,威,ヰ
218,祈,キ
219,機,キ
220,希,キ
221,依,イ
222,沂,ギ
223,巍,グヰ
224,歸,クヰ
225,蘬,
226,魚,ギョ
227,初,ショ
228,書,ショ
229,居,キョ
230,渠,キョ
231,余,ヨ
232,胥,ショ
233,疽,ショ
234,鉏,ショ
235,攄,チョ
236,䟽,ショ
237,虚,キョ
238,徐,ショ
239,於,ヨ
240,豬,チョ
241,臚,リョ
242,諸,ショ
243,除,チョ
244,如,ジョ
245,且,ショ
246,虚,キョ
