字,漢音
東,トウ
菄,トウ
鶇,トウ
䍶,トウ
𠍀,トウ
倲,トウ
𩜍,トウ
𢘐,トウ
涷,トウ
蝀,トウ
凍,トウ
鯟,トウ
𢔅,トウ
崠,トウ
埬,トウ
𧓕,トウ
䰤,トウ
同,トウ
仝,トウ
童,トウ
僮,トウ
銅,トウ
桐,トウ
峒,トウ
硐,トウ
𦨴,トウ
𧱁,トウ
筒,トウ
瞳,トウ
㼧,トウ
𤭁,トウ
罿,トウ
犝,トウ
筩,トウ
潼,トウ
曈,トウ
洞,トウ
侗,トウ
橦,トウ
烔,トウ
䴀,トウ
挏,トウ
酮,トウ
鮦,トウ
㼿,トウ
𦏆,トウ
𦍻,トウ
眮,トウ
蕫,トウ
穜,トウ
衕,トウ
𩍅,トウ
𢈉,トウ
䆚,トウ
哃,トウ
𢏕,トウ
絧,トウ
𨚯,トウ
𨝯,トウ
𪔝,トウ
𩦶,トウ
𪒿,トウ
中,チウ
衷,チウ
忠,チウ
𦬕,チウ
蟲,チウ
沖,チウ
种,チウ
盅,チウ
爞,チウ
𦬕,チウ
翀,チウ
終,シウ
衆,シウ
潨,シウ
𣧩,シウ
螽,シウ
𧑄,シウ
鼨,シウ
蔠,シウ
柊,シウ
𩅧,シウ
䶱,シウ
鴤,シウ
䈺,シウ
泈,シウ
䝦,シウ
忡,チウ
浺,チウ
盅,チウ
崇,スウ
崈,スウ
㓽,スウ
𩞉,スウ
嵩,シウ
崧,シウ
𪀚,シウ
娀,シウ
菘,シウ
硹,シウ
㣝,シウ
𧊕,シウ
𨱿,シウ
戎,ジウ
𢦦,ジウ
茙,ジウ
㭜,ジウ
駥,ジウ
𥬪,ジウ
𠈋,ジウ
狨,ジウ
絨,ジウ
弓,キウ
躳,キウ
躬,キウ
㴦,キウ
宮,キウ
匑,キウ
融,イウ
肜,イウ
瀜,イウ
雄,イウ
熊,イウ
瞢,ボウ
夢,ボウ
𨞯,ボウ
懜,ボウ
𦫰,ボウ
𧲎,ボウ
穹,キウ
𢞏,キウ
焪,キウ
芎,キウ
𦵡,キウ
匑,キウ
𥳎,キウ
窮,キウ
藭,キウ
𥨪,キウ
馮,フウ
堸,フウ
汎,フウ
芃,フウ
𨝭,フウ
渢,フウ
梵,フウ
風,フウ
飌,フウ
楓,フウ
猦,フウ
偑,フウ
檒,フウ
𧆉,フウ
豐,ホウ
酆,ホウ
蘴,ホウ
灃,ホウ
寷,ホウ
麷,ホウ
㒥,ホウ
㠦,ホウ
充,シウ
珫,シウ
茺,シウ
㤝,シウ
䘪,シウ
𪎽,シウ
㳘,シウ
隆,シウ
癃,シウ
𪔳,シウ
窿,シウ
霳,シウ
㚅,シウ
空,コウ
箜,コウ
崆,コウ
椌,コウ
硿,コウ
䅝,コウ
悾,コウ
埪,コウ
倥,コウ
涳,コウ
鵼,コウ
𦱇,コウ
𢃐,コウ
𧌆,コウ
公,コウ
功,コウ
工,コウ
疘,コウ
蚣,コウ
玒,コウ
釭,コウ
魟,コウ
攻,コウ
㓚,コウ
愩,コウ
碽,コウ
篢,コウ
蒙,モウ
冡,モウ
濛,モウ
𩦺,モウ
艨,モウ
䑃,モウ
矇,モウ
饛,モウ
䰒,モウ
檬,モウ
𨢊,モウ
䴿,モウ
𨣘,モウ
鸏,モウ
幪,モウ
罞,モウ
𢄐,モウ
髳,モウ
蠓,モウ
𦿏,モウ
雺,モウ
霿,モウ
霚,モウ
朦,モウ
䀄,モウ
懜,モウ
霥,モウ
籠,ロウ
豅,ロウ
㰍,ロウ
朧,ロウ
𡃡,ロウ
龓,ロウ
䪊,ロウ
瀧,ロウ
聾,ロウ
𨏠,ロウ
礱,ロウ
䆍,ロウ
𪚗,ロウ
嚨,ロウ
蘢,ロウ
櫳,ロウ
𤮨,ロウ
巃,ロウ
襱,ロウ
𧙥,ロウ
瓏,ロウ
曨,ロウ
鸗,ロウ
𩟭,ロウ
蠪,ロウ
㟅,ロウ
屸,ロウ
洪,コウ
鉷,コウ
訌,コウ
紅,コウ
虹,コウ
仜,コウ
鴻,コウ
葒,コウ
葓,コウ
谼,コウ
䉺,コウ
烘,コウ
洚,コウ
渱,コウ
𨹁,コウ
魟,コウ
䧆,コウ
䪦,コウ
𦏺,コウ
䫹,コウ
𨾊,コウ
叢,ソウ
藂,ソウ
䕺,ソウ
潨,ソウ
𥵫,ソウ
翁,ヲウ
螉,ヲウ
䱵,ヲウ
蓊,ヲウ
䈵,ヲウ
䩺,ヲウ
㮬,ヲウ
𩔚,ヲウ
怱,ソウ
忩,ソウ
葱,ソウ
楤,ソウ
𨍉,ソウ
聦,ソウ
繱,ソウ
𤧚,ソウ
騘,ソウ
䗓,ソウ
囪,ソウ
𨣭,ソウ
鍯,ソウ
㷓,ソウ
𢉛,ソウ
通,トウ
蓪,トウ
侗,トウ
恫,トウ
痌,トウ
曈,トウ
俑,トウ
𧳆,トウ
𨀜,トウ
葼,ソウ
鬷,ソウ
嵕,ソウ
猣,ソウ
豵,ソウ
鯼,ソウ
椶,ソウ
騣,ソウ
𩮀,ソウ
䗥,ソウ
嵸,ソウ
艐,ソウ
蝬,ソウ
堫,ソウ
𥓻,ソウ
翪,ソウ
緵,ソウ
㚇,ソウ
㣭,ソウ
稯,ソウ
鬉,ソウ
蓬,ホウ
𥭗,ホウ
篷,ホウ
髼,ホウ
蜂,ホウ
芃,ホウ
𧚋,ホウ
