字,代表音訓
亜,ア
唖,ア
娃,ア
阿,ア
哀,アイ
愛,アイ
挨,アイ
姶,アイ
逢,あい
葵,あおい
茜,あかね
穐,あき
悪,アク
握,アク
渥,アク
旭,あさひ
葦,あし
芦,あし
鯵,あじ
梓,あずさ
圧,アツ
斡,アツ
扱,あつかい
宛,あて
姐,あね
虻,あぶ
飴,あめ
絢,あや
綾,あや
鮎,あゆ
或,ある
粟,あわ
袷,あわせ
安,アン
庵,アン
按,アン
暗,アン
案,アン
闇,アン
鞍,アン
杏,あんず
以,イ
伊,イ
位,イ
依,イ
偉,イ
囲,イ
夷,イ
委,イ
威,イ
尉,イ
惟,イ
意,イ
慰,イ
易,イ
椅,イ
為,イ
畏,イ
異,イ
移,イ
維,イ
緯,イ
胃,イ
萎,イ
衣,イ
謂,イ
違,イ
遺,イ
医,イ
井,い
亥,い
域,イキ
育,イク
郁,イク
磯,いそ
一,イチ
壱,イチ
溢,イツ
逸,イツ
稲,いね
茨,いばら
芋,いも
鰯,いわし
允,イン
印,イン
咽,イン
員,イン
因,イン
姻,イン
引,イン
飲,イン
淫,イン
胤,イン
蔭,イン
院,イン
陰,イン
隠,イン
韻,イン
吋,いんち
右,ウ
宇,ウ
烏,ウ
羽,ウ
迂,ウ
雨,ウ
卯,う
鵜,う
窺,うかがい
丑,うし
碓,うす
臼,うす
渦,うず
嘘,うそ
唄,うた
欝,ウツ
蔚,ウツ
鰻,うなぎ
姥,うば
厩,うまや
浦,うら
瓜,うり
閏,うるう
噂,うわさ
云,ウン
運,ウン
雲,ウン
荏,え
餌,え
叡,エイ
営,エイ
嬰,エイ
影,エイ
映,エイ
曳,エイ
栄,エイ
永,エイ
泳,エイ
洩,エイ
瑛,エイ
盈,エイ
穎,エイ
頴,エイ
英,エイ
衛,エイ
詠,エイ
鋭,エイ
液,エキ
疫,エキ
益,エキ
駅,エキ
悦,エツ
謁,エツ
越,エツ
閲,エツ
榎,えのき
厭,エン
円,エン
園,エン
堰,エン
奄,エン
宴,エン
延,エン
怨,エン
掩,エン
援,エン
沿,エン
演,エン
炎,エン
焔,エン
煙,エン
燕,エン
猿,エン
縁,エン
艶,エン
苑,エン
薗,エン
遠,エン
鉛,エン
鴛,エン
塩,エン
於,オ
汚,オ
甥,おい
凹,オウ
央,オウ
奥,オウ
往,オウ
応,オウ
押,オウ
旺,オウ
横,オウ
欧,オウ
殴,オウ
王,オウ
翁,オウ
襖,オウ
鴬,オウ
鴎,オウ
黄,オウ
岡,おか
沖,おき
荻,おぎ
億,オク
屋,オク
憶,オク
臆,オク
桶,おけ
牡,おす
乙,オツ
俺,おれ
卸,おろし
恩,オン
温,オン
穏,オン
音,オン
下,カ
化,カ
仮,カ
何,カ
伽,カ
価,カ
佳,カ
加,カ
可,カ
嘉,カ
夏,カ
嫁,カ
家,カ
寡,カ
科,カ
暇,カ
果,カ
架,カ
歌,カ
河,カ
火,カ
珂,カ
禍,カ
禾,カ
稼,カ
箇,カ
花,カ
苛,カ
茄,カ
荷,カ
華,カ
菓,カ
蝦,カ
課,カ
嘩,カ
貨,カ
迦,カ
過,カ
霞,カ
蚊,か
俄,ガ
峨,ガ
我,ガ
牙,ガ
画,ガ
臥,ガ
芽,ガ
蛾,ガ
賀,ガ
雅,ガ
餓,ガ
駕,ガ
介,カイ
会,カイ
解,カイ
回,カイ
塊,カイ
壊,カイ
廻,カイ
快,カイ
怪,カイ
悔,カイ
恢,カイ
懐,カイ
戒,カイ
拐,カイ
改,カイ
魁,カイ
晦,カイ
械,カイ
海,カイ
灰,カイ
界,カイ
皆,カイ
絵,カイ
芥,カイ
蟹,カイ
開,カイ
階,カイ
貝,かい
凱,ガイ
劾,ガイ
外,ガイ
咳,ガイ
害,ガイ
崖,ガイ
慨,ガイ
概,ガイ
涯,ガイ
碍,ガイ
蓋,ガイ
街,ガイ
該,ガイ
鎧,ガイ
骸,ガイ
浬,かいり
馨,かおり
蛙,かえる
垣,かき
柿,かき
蛎,かき
鈎,かぎ
劃,カク
嚇,カク
各,カク
廓,カク
拡,カク
撹,カク
格,カク
核,カク
殻,カク
獲,カク
確,カク
穫,カク
覚,カク
角,カク
赫,カク
較,カク
郭,カク
閣,カク
隔,カク
革,カク
学,ガク
岳,ガク
楽,ガク
額,ガク
顎,ガク
掛,かけ
笠,かさ
樫,かし
橿,かし
梶,かじ
鰍,かじか
潟,かた
割,カツ
喝,カツ
恰,カツ
括,カツ
活,カツ
渇,カツ
滑,カツ
葛,カツ
褐,カツ
轄,カツ
且,かつ
鰹,かつお
叶,かない
椛,かば
樺,かば
鞄,かばん
株,かぶ
兜,かぶと
竃,かま
蒲,かま
釜,かま
鎌,かま
噛,かみ
鴨,かも
栢,かや
茅,かや
萱,かや
粥,かゆ
刈,かり
苅,かり
瓦,かわら
乾,カン
侃,カン
冠,カン
寒,カン
刊,カン
勘,カン
勧,カン
巻,カン
喚,カン
堪,カン
姦,カン
完,カン
官,カン
寛,カン
干,カン
幹,カン
患,カン
感,カン
慣,カン
憾,カン
換,カン
敢,カン
柑,カン
桓,カン
棺,カン
款,カン
歓,カン
汗,カン
漢,カン
澗,カン
潅,カン
環,カン
甘,カン
監,カン
看,カン
竿,カン
管,カン
簡,カン
緩,カン
缶,カン
翰,カン
肝,カン
艦,カン
莞,カン
観,カン
諌,カン
貫,カン
還,カン
鑑,カン
間,カン
閑,カン
関,カン
陥,カン
韓,カン
館,カン
舘,カン
丸,ガン
含,ガン
岸,ガン
巌,ガン
玩,ガン
癌,ガン
眼,ガン
岩,ガン
翫,ガン
贋,ガン
雁,ガン
頑,ガン
顔,ガン
願,ガン
企,キ
伎,キ
危,キ
喜,キ
器,キ
基,キ
奇,キ
嬉,キ
寄,キ
岐,キ
希,キ
幾,キ
忌,キ
揮,キ
机,キ
旗,キ
既,キ
期,キ
棋,キ
棄,キ
機,キ
帰,キ
毅,キ
気,キ
汽,キ
畿,キ
祈,キ
季,キ
稀,キ
紀,キ
徽,キ
規,キ
記,キ
貴,キ
起,キ
軌,キ
輝,キ
飢,キ
騎,キ
鬼,キ
亀,キ
偽,ギ
儀,ギ
妓,ギ
宜,ギ
戯,ギ
技,ギ
擬,ギ
欺,ギ
犠,ギ
疑,ギ
祇,ギ
義,ギ
蟻,ギ
誼,ギ
議,ギ
掬,キク
菊,キク
鞠,キク
吉,キチ
吃,キツ
喫,キツ
桔,キツ
橘,キツ
詰,キツ
砧,きぬた
杵,きね
黍,きび
却,キャク
客,キャク
脚,キャク
虐,ギャク
逆,ギャク
丘,キュウ
久,キュウ
仇,キュウ
休,キュウ
及,キュウ
吸,キュウ
宮,キュウ
弓,キュウ
急,キュウ
救,キュウ
朽,キュウ
求,キュウ
汲,キュウ
泣,キュウ
灸,キュウ
球,キュウ
究,キュウ
窮,キュウ
笈,キュウ
級,キュウ
糾,キュウ
給,キュウ
旧,キュウ
牛,ギュウ
去,キョ
居,キョ
巨,キョ
拒,キョ
拠,キョ
挙,キョ
渠,キョ
虚,キョ
許,キョ
距,キョ
鋸,キョ
漁,ギョ
禦,ギョ
魚,ギョ
亨,キョウ
享,キョウ
京,キョウ
供,キョウ
侠,キョウ
僑,キョウ
兇,キョウ
競,キョウ
共,キョウ
凶,キョウ
協,キョウ
匡,キョウ
卿,キョウ
叫,キョウ
喬,キョウ
境,キョウ
峡,キョウ
強,キョウ
彊,キョウ
怯,キョウ
恐,キョウ
恭,キョウ
挟,キョウ
教,キョウ
橋,キョウ
況,キョウ
狂,キョウ
狭,キョウ
矯,キョウ
胸,キョウ
脅,キョウ
興,キョウ
蕎,キョウ
郷,キョウ
鏡,キョウ
響,キョウ
饗,キョウ
驚,キョウ
仰,ギョウ
凝,ギョウ
尭,ギョウ
暁,ギョウ
業,ギョウ
局,キョク
曲,キョク
極,キョク
玉,ギョク
桐,きり
粁,きろめーとる
僅,キン
勤,キン
均,キン
巾,キン
錦,キン
斤,キン
欣,キン
欽,キン
琴,キン
禁,キン
禽,キン
筋,キン
緊,キン
芹,キン
菌,キン
衿,キン
襟,キン
謹,キン
近,キン
金,キン
吟,ギン
銀,ギン
九,ク
倶,ク
句,ク
区,ク
狗,ク
玖,ク
矩,ク
苦,ク
躯,ク
駆,ク
駈,ク
駒,ク
具,グ
愚,グ
虞,グ
喰,くい
空,クウ
偶,グウ
寓,グウ
遇,グウ
隅,グウ
串,くし
櫛,くし
釧,くし
屑,くず
屈,クツ
掘,クツ
窟,クツ
沓,くつ
靴,くつ
轡,くつわ
窪,くぼ
熊,くま
隈,くま
粂,くめ
栗,くり
繰,くり
桑,くわ
鍬,くわ
勲,クン
君,クン
薫,クン
訓,クン
群,グン
軍,グン
郡,グン
卦,ケ
袈,ケ
祁,ケ
係,ケイ
傾,ケイ
刑,ケイ
兄,ケイ
啓,ケイ
圭,ケイ
珪,ケイ
型,ケイ
契,ケイ
形,ケイ
径,ケイ
恵,ケイ
慶,ケイ
慧,ケイ
憩,ケイ
掲,ケイ
携,ケイ
敬,ケイ
景,ケイ
桂,ケイ
渓,ケイ
畦,ケイ
稽,ケイ
系,ケイ
経,ケイ
継,ケイ
繋,ケイ
罫,ケイ
茎,ケイ
荊,ケイ
蛍,ケイ
計,ケイ
詣,ケイ
警,ケイ
軽,ケイ
頚,ケイ
鶏,ケイ
芸,ゲイ
迎,ゲイ
鯨,ゲイ
劇,ゲキ
戟,ゲキ
撃,ゲキ
激,ゲキ
隙,ゲキ
桁,けた
傑,ケツ
欠,ケツ
決,ケツ
潔,ケツ
穴,ケツ
結,ケツ
血,ケツ
訣,ケツ
月,ゲツ
件,ケン
倹,ケン
倦,ケン
健,ケン
兼,ケン
券,ケン
剣,ケン
喧,ケン
圏,ケン
堅,ケン
嫌,ケン
建,ケン
憲,ケン
懸,ケン
拳,ケン
捲,ケン
検,ケン
権,ケン
牽,ケン
犬,ケン
献,ケン
研,ケン
硯,ケン
絹,ケン
県,ケン
肩,ケン
見,ケン
謙,ケン
賢,ケン
軒,ケン
遣,ケン
鍵,ケン
険,ケン
顕,ケン
験,ケン
鹸,ケン
元,ゲン
原,ゲン
厳,ゲン
幻,ゲン
弦,ゲン
減,ゲン
源,ゲン
玄,ゲン
現,ゲン
絃,ゲン
舷,ゲン
言,ゲン
諺,ゲン
限,ゲン
乎,コ
個,コ
古,コ
呼,コ
固,コ
姑,コ
孤,コ
己,コ
庫,コ
弧,コ
戸,コ
故,コ
枯,コ
湖,コ
狐,コ
糊,コ
袴,コ
股,コ
胡,コ
菰,コ
虎,コ
誇,コ
跨,コ
鈷,コ
雇,コ
顧,コ
鼓,コ
五,ゴ
互,ゴ
伍,ゴ
午,ゴ
呉,ゴ
吾,ゴ
娯,ゴ
後,ゴ
御,ゴ
悟,ゴ
梧,ゴ
檎,ゴ
瑚,ゴ
碁,ゴ
語,ゴ
誤,ゴ
護,ゴ
醐,ゴ
乞,こい
鯉,こい
交,コウ
佼,コウ
侯,コウ
候,コウ
倖,コウ
光,コウ
公,コウ
功,コウ
効,コウ
勾,コウ
厚,コウ
口,コウ
向,コウ
后,コウ
喉,コウ
坑,コウ
垢,コウ
好,コウ
孔,コウ
孝,コウ
宏,コウ
工,コウ
巧,コウ
巷,コウ
幸,コウ
広,コウ
庚,コウ
康,コウ
弘,コウ
恒,コウ
慌,コウ
抗,コウ
